state,state_fips,state_postal,overall_rate,hormone_rate,colorectal_rate,stomach_rate,avg_pesticide_kg,ag_land_acres,pesticide_intensity,nitrate_rate_per_system,nitrate_rate_per_100k_capita
Kentucky,21,KY,524.1,50.95815012525845,52.2,6.3,5636542.0,12961784,0.4348585040454308,0.004484304932735426,0.03909800129062502
Louisiana,22,LA,494.0,50.98160410852275,50.0,7.7,7423659.3,7997511,0.9282462131030517,0.0,0.0
Maine,23,ME,502.3,61.07910624933112,43.6,5.9,447954.44000000006,1307613,0.3425741714100426,0.0018438844499078057,0.33367442274324866
Maryland,24,MD,466.0,54.34341715431733,41.1,6.8,2124998.2,1990122,1.0677728300074067,0.008199409642505739,0.42784716888394186
Massachusetts,25,MA,476.4,56.79589967223969,41.5,6.9,153430.36000000002,491653,0.3120704236524541,0.002163331530557058,0.03880833572004598
Michigan,26,MI,484.9,55.522836285681855,43.1,6.6,8846641.34,9764090,0.906038487969693,0.0034380226723657314,0.4095150942836563
Minnesota,27,MN,479.4,53.785705357833336,41.6,5.7,18108642.660000004,25516982,0.7096702368642187,0.0019798964361864148,0.2450193226007331
Mississippi,28,MS,481.4,50.685396709775844,49.8,7.1,8520529.860000001,10415136,0.8180910801356795,0.0,0.0
Missouri,29,MO,473.1,50.69580535578957,46.2,5.6,15362302.280000001,27781883,0.55296116105593,0.004963600264725348,0.24621776681142082
Montana,30,MT,472.3,60.36256631463239,41.8,5.3,7059898.859999999,58122878,0.12146505993732794,0.00585321927059883,1.136372576357681
Nebraska,31,NE,468.4,51.74801351785847,47.6,5.2,23659273.28,44986821,0.5259156516082788,0.05619834710743802,3.7716279289048136
Nevada,32,NV,428.1,45.442057034681326,40.9,5.8,731253.5199999999,6128153,0.11932690322842786,0.0014903129657228018,0.028204305217965693
New Hampshire,33,NH,499.6,59.7668050578201,41.4,5.7,56287.880000000005,425393,0.1323197137705604,0.0,0.0
New Jersey,34,NJ,501.3,60.09804559603596,46.5,8.3,533491.5,734084,0.7267444870069365,0.003708987161198288,0.13681711813684552
New Mexico,35,NM,398.0,46.81173648326018,36.7,6.9,1488089.1800000002,40659836,0.03659850423400626,0.0018115942028985507,0.09378382079037254
New York,36,NY,489.8,57.28575089899279,44.1,8.9,3659127.4799999995,6866171,0.5329211113442994,0.0017976373908577298,0.07283348096853338
North Carolina,37,NC,480.8,53.62720936809863,41.1,6.3,13164068.74,8430522,1.5614773011683025,0.0008173273395995096,0.0399955045052936
North Dakota,38,ND,462.9,53.420804308256464,47.3,5.7,18168462.48,39341591,0.4618131096935048,0.0,0.0
Ohio,39,OH,476.2,53.70897806493315,45.4,6.1,10842534.940000001,13965295,0.7763914002532708,0.003024955886059995,0.11217576296812581
Oklahoma,40,OK,466.7,48.27225278279816,45.5,5.6,5981373.76,34156290,0.17511778240552472,0.0768012668250198,2.6569781010221423
Oregon,41,OR,453.9,53.497310371415594,38.8,5.3,8392645.9,15962322,0.5257785114220851,0.0027472527472527475,0.17390263092321678
Pennsylvania,42,PA,492.3,60.098266258334895,46.7,6.7,4129540.7399999998,7278668,0.5673484131986787,0.017300095354856288,1.007158837434175
Rhode Island,44,RI,497.8,58.00404885666885,42.9,7.8,13092.32,56864,0.23023916713562184,0.0,0.0
South Carolina,45,SC,467.5,53.55139385965702,42.6,6.8,4785825.9,4744913,1.0086224763235914,0.0,0.0
South Dakota,46,SD,470.6,55.268883937244574,45.9,5.2,14655239.540000001,43243742,0.33889850559186113,0.0014104372355430183,0.10308491929481668
Tennessee,47,TN,460.4,49.28525483943085,43.2,5.7,6700595.9799999995,10874238,0.6161899325727467,0.002103049421661409,0.055269062230476965
Texas,48,TX,443.5,40.759776274272404,42.0,7.0,23856856.06,127036184,0.18779575479061933,0.030129725205746968,0.6369762783251334
Utah,49,UT,418.0,39.45032239236846,33.4,4.8,686028.4,10811604,0.06345297145548431,0.0008396305625524769,0.025482576288462764
Vermont,50,VT,475.1,57.99707232700341,39.7,5.2,174633.58000000002,1193437,0.14632827706866808,0.0,0.0
Virginia,51,VA,432.5,49.07304234571338,39.5,6.0,3807512.9,7797979,0.4882691912866141,0.001213101496158512,0.040743514820793046
Washington,53,WA,471.5,51.536772761130834,39.3,6.1,30933400.4,14679857,2.1072003903035292,0.032210526315789474,1.4953415711993696
West Virginia,54,WV,497.0,56.768538524522015,50.9,5.9,345411.1,3662178,0.09431849025361409,0.020933977455716585,1.3092195238872137
Wisconsin,55,WI,477.8,55.380660837993354,41.9,6.2,8760750.48,14318630,0.6118427866353136,0.0020573779860555493,0.48512015213367976
Wyoming,56,WY,424.1,50.432469409572946,39.1,4.8,544837.6,29004884,0.01878433990634129,0.04353741496598639,5.0149193851708835
